Document_Segment,Segment
1-s2.0-S0301479717300713-main.pdf.tei_81,"In addition, four experts envisioned an increase in the impact of science and research.']}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '3.2.3.', '#text': 'Identified drivers of [LULCC] by literature'}, 'p': [{'ref': [{'@type': 'table', '@target': '#tab_6', '#text': '7'}, {'@type': 'bibr', '@target': '#b97', '#text': 'Wardell et al"
1-s2.0-S235198941500102X-main.pdf.tei_59,Controlling fuel wood collection and logging will be a key task involving preventive disturbance and restoration in unprotected [savanna] ecosystems
1-s2.0-S003442571730041X-main.pdf.tei_71,"Finally, the abundance of big trees in the cropped fields in proximity to the villages impacts the NDVI signal significantly.'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '6.', '#text': 'Conclusion'}, 'p': 'Existing land use/cover studies commonly merge cropped and fallowed fields into one class of cropland/[agriculture] and different hypotheses have been brought forward when interpreting the relation between positive NDVI trends and changes in areas under [cultivation]"
1-s2.0-S0140196313000608-main.pdf.tei_84,"Cluster 2 actually shows that the increase in population density is usually associated with an increase in [crop] land, but population density alone does not by itself predict trends in [crop] [land cover] (24% of the cases did not show an increase in [crop] land despite increased population density) and other factors might explain the decrease or stability of [crop] land change as demonstrated by the results of the canonical variate analysis below"
1-s2.0-S030438781000043X-mainext.pdf.tei_3,"Further, the relationship is more robust for certain investments, such as [fallow], than others such as land improvement"
1-s2.0-S003442571730041X-main.pdf.tei_22,The [crop]-[fallow] rotation practiced to manage soil fertility  is typical for the extensive cropping system in the Sahel
1-s2.0-S0301479717300713-main.pdf.tei_170,"Because there is not so much [grassland], they are grazing the cattle in other areas around the Northern Region where there is a lot of [grassland] but at the end of the grazing period, they would send their cattle back to the Upper East Region"
1-s2.0-S0140196313000608-main.pdf.tei_77,"In south-western Burkina Faso, land under [cultivation] in the village of Sara did not change from 1981 to 1993, reflecting a saturation of arable land .'}, {'ref': {'@type': 'bibr', '@target': '#b50', '#text': '(Mortimore and Turner, 2005)'}, '#text': ""A decrease in [crop] land was mainly observed in cases where rain variability is a limiting factor, but also in the absence of government support and the presence of diversification activities and outmigration"
1-s2.0-S095937809800003X-main.pdf.tei_65,"It is recognized that the positive effect of manure, especially on sandy soils, is offset by the enhanced risk of burning the millet in years with low rainfall.']}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': 'Conclusions and perspectives', 'p': ['The study of [land use ]changes during the last 50 years in Yomboli can be summed up in a few major observations which underline that [land use ]pattern dynamics is a multi-facetted process.', {'ref': {'@type': 'bibr', '@target': '#b5', '#text': 'Bilsborrow and Ogendo (1992)'}, '#text': 'The cultivated land has expanded at the expense of other [land use ]categories"
1-s2.0-S0140196310000893-main.pdf.tei_51,sanguineum and is linked to soils more suitable for [agriculture]
1-s2.0-S095937809800003X-main.pdf.tei_36,The [cultivation] of millet is more or less restricted to the sandy soils on the dunes
1-s2.0-S0006320709005400-main.pdf.tei_119,"(2000)', ""Côte d'Ivoire"", '[Fruit] feeding nymphalid butterflies']}, {'cell': ['Yanoviak et al"
1-s2.0-S000632071100245X-main.pdf.tei_3,"Main factors determining the populations of NTFP-providing species are human activities, such as [agriculture], fire, livestock grazing, and NTFP-harvesting "
1-s2.0-S0140196313000608-main.pdf.tei_124,"Here we use woodland and [shrubland] as defined by the authors of the papers.'}
"
1-s2.0-S030438781000043X-mainext.pdf.tei_25,"In the Goldstein-Udry sample, the main source of insecurity faced by cultivators is the possibility that lineage land they have left [fallow] will be reallocated within the lineage"
1-s2.0-S0301479717300713-main.pdf.tei_33,"The catalogue of combinations between agreement and evidence levels can be found in Annex 1.'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '2.3.', '#text': 'Geospatial analysis (remote sensing and GIS)'}, 'p': [{'ref': [{'@type': 'bibr', '@target': '#b40', '#text': '(Hansen et al., 2000)'}, {'@type': 'table', '@target': '#tab_8', '#text': '9'}], '#text': 'Remote sensing and geospatial data are reliable data sources for understanding [LULCC] and determining the drivers of change "
1-s2.0-S030438781000043X-mainext.pdf.tei_77,"In addition, the regressions control for the cultivator\'s gender, a quadratic in plot area and distance, the [water] source of the plot, and self-reported pest severity and plot fertility.'}, ""Sharecropped, gifted, and municipal plots are all less likely to be incompletely exploited than inherited ones, suggesting that cultivators fear losing them if they are not used"
1-s2.0-S0301479717300713-main.pdf.tei_5,"First, we conducted in-depth interviews and developed a list of 34 direct and indirect drivers of [LULCC]"
1-s2.0-S030438781000043X-mainext.pdf.tei_57,"10 Goldstein and  restrict their sample to the dominant [maize]-[cassava] intercrop mixture.'}, '11 These are implemented in GAUSS using the program ""pantob"" supplied by Honoré on his website.'], 'formula': {'@xml:id': 'formula_7', 'label': 'ð7Þ', '#text': 'y ht = T ′ ht β T + X ′ ht γ X + δ v + δ t + ht :'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '5.', '#text': 'Results'}, 'p': {'ref': {'@type': 'table', '@target': '#tab_1', '#text': '2'}, '#text': ""In this section, I implement the specifications outlined in Section 4 and discuss the results obtained"
1-s2.0-S0304387816300670-main.pdf.tei_88,"What we are doing is demanding on the data-identification of climate effects on [urbanization] must come from within-country differences across districts in annualized growth rates of moisture.', {'ref': {'@type': 'bibr', '#text': '13'}, '#text': 'We smooth moisture levels over three years, on the assumption that potentially permanent decisions are more likely to be based on average recent experience rather than one good or bad year"
1-s2.0-S003442571730041X-main.pdf.tei_78,"Cropped/fallowed field membership map of 2004 using MODIS 250 m resolution [seasonal] NDVI metrics inputs (amplitude and right derivative).', 'graphic': {'@coords': '7,129.71,505.98,327.30,220.14', '@type': 'bitmap'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@xml:id': 'fig_9', 'head': 'Fig"
1-s2.0-S095937809800003X-main.pdf.tei_72,"Field measurements, aerial photos and satellite images from seven successive years provide information on [land use ]pattern changes from 1945 to 1995"
1-s2.0-S0301479717300713-main.pdf.tei_91,"Identified drivers of [LULCC] by the mixed-method approach (including the qualitative part from interviews and literature)', {'ref': [{'@type': 'table', '@target': '#tab_8', '#text': '9'}, {'@type': 'bibr', '@target': '#b100', '#text': 'Wood et al"
1-s2.0-S0304387816300670-main.pdf.tei_27,"Section 4 describes the construction of the core climate, [urbanization], and industry indicators"
1-s2.0-S0140196314000536-main.pdf.tei_4,"The region is named after the [seasonal] Ferlo River, a traditionally silvo-pastoral zone, mainly inhabited by semi-nomadic Fulani pastoralists"
1-s2.0-S235198941500102X-main.pdf.tei_58,"This problem of degradation shows the limits of the system of management, due to an insufficient number of [forest] agents"
1-s2.0-S0167880913003502-main.pdf.tei_24,"(2011b)'}, {'@type': 'bibr', '#text': '(Powlson et al., 2011b;'}, {'@type': 'bibr', '@target': '#b184', '#text': 'West and Post, 2002)'}], '#text': 'Soil C sequestration refers to the increase in C stored in the soil by capturing atmospheric CO 2 as a result of changes in [land use ]or management "
1-s2.0-S0140196314000536-main.pdf.tei_39,These primary fields are kept fertile with natural and artificial fertilizers and are rarely [fallow]
1-s2.0-S0140196314000536-main.pdf.tei_2,[Land cover] changes merely play a secondary role when explaining changes in rainfall patterns 
1-s2.0-S0169204617300270-main.pdf.tei_48,"In-depth interviews provide qualitative data where, for example, the value and management of different [land use ]types can be identified"
1-s2.0-S0169204617300270-main.pdf.tei_65,"In this study, the area to the west of Takoradi in closest proximity to Agona was chosen as the focus region for the remote sensing analysis.'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '2.2.', '#text': 'Methods'}, 'p': [{'ref': [{'@type': 'bibr', '@target': '#b54', '#text': '(Lasuén, 1973)'}, {'@type': 'figure', '@target': '#fig_1', '#text': '2'}, {'@type': 'table', '#text': '6a'}, {'@type': 'table', '#text': '6b'}], '#text': 'Our analyses considered patterns of [urban] development, and driving forces of [urban] development as well as opportunities and challenges of [urban] and peri-[urban] [land use ]planning"
1-s2.0-S0301479717300713-main.pdf.tei_64,"Additionally, [deforestation] is positively related to population growth (pvalue 0.001)"
1-s2.0-S0304387816300670-main.pdf.tei_69,"For estimation purposes, Kenya is treated as two countries, before and after redistricting and [urban] redefinition of the 1990s"
1-s2.0-S0169204617300270-main.pdf.tei_145,Population growth remains an important driver of [urban] development with high confidence in both areas
1-s2.0-S0006320709005400-main.pdf.tei_39,"km.)   West Africa also expanded output in the cocoa sector over this period, mainly the result of increased cocoa planting by smallholder farmers operating along the [forest] margins (as defined by )"
1-s2.0-S0301479717300713-main.pdf.tei_256,P12: SARI is working in developing [crop] varieties that are very short duration
1-s2.0-S0167880913003502-main.pdf.tei_18,"Though CA was originally introduced to regulate wind and [water] [erosion] , it is now considered to deliver multiple ES"
1-s2.0-S003442571730041X-main.pdf.tei_55,"Although the timing and  frequency of rainfall can have a significant impact on vegetation productivity, it is beyond the scope of analysis in the current study.'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '5.', '#text': 'Discussion'}, 'p': {'ref': [{'@type': 'bibr', '@target': '#b12', '#text': '(Dardel et al., 2014;'}, {'@type': 'bibr', '@target': '#b36', '#text': 'Kaptué et al., 2015)'}], '#text': 'This study has demonstrated that cropped and fallowed fields are characterized by different [seasonal] NDVI metrics, which has important implications for the interpretation of greening and browning trends in the Sahel based on satellite time series "
1-s2.0-S0006320709005400-main.pdf.tei_16,"Next, we synthesize and review our state of knowledge on the value of human-modified habitats for [forest] biodiversity, and the impact of [forest] fragmentation on biodiversity"
1-s2.0-S0168192311001122-main.pdf.tei_33,"Through an overlay of sub-basins and [land use ]scenarios with  the digitized version of the soil association map of Benin Republic , the hydrological response units within each sub-basin were defined"
1-s2.0-S0264837701000205-main.pdf.tei_15,"The last response in the population/ [land use ]continuum, the fourth phase, involves a fertility reduction"
1-s2.0-S0304387816300670-main.pdf.tei_65,"In practice, as noted earlier, little structural transformation has occurred in most African countries.']}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.', '#text': 'Data on [urbanization], climate, and industrialization'}, 'p': 'In this section we discuss our measures of [urbanization], moisture and extent of industrialization of districts, data we use in our analysis of the effect of climate on [urbanization]"
1-s2.0-S0140196313000608-main.pdf.tei_26,The strong demographic growth has been supported by an increase in the surface area of rain-fed cultivated lands at the expense of the natural woody [savannah] 
1-s2.0-S0140196310000893-main.pdf.tei_46,"11 and 248)'}, '#text': ""In the [cotton] zone of western Burkina Faso, the influence of fire on the environment is more marked inside than outside protected areas"
1-s2.0-S0308521X12000157-main.pdf.tei_3,"The sub-continent continues to be marked by low productivity, typically of one ton ha À1 for [cereals] "
1-s2.0-S0006320709005400-main.pdf.tei_87,"After 1-5 years, they had less than half as many soil nematode species as near-primary [forest]: a similar level of species richness to that in an [annual [crop]] field "
1-s2.0-S0264837715302131-main.pdf.tei_34,"The segments that required modification were changed by adding, deleting or modifying the polygon boundaries to reflect the changes in [land cover] between 1975 and 1990"
1-s2.0-S0301479717300713-main.pdf.tei_167,P4: … And where you have all this [forest] and cutting this [forest] … P5: … most of the trees have been cut
1-s2.0-S0304387816300670-main.pdf.tei_153,"10 and 14 are the maximum number of modern and total industries, respectively, in any [city]"
1-s2.0-S0264837715302131-main.pdf.tei_77,"[Forest], woodland, tree [savanna] and degraded [savanna] will decrease by 14, 11, 18 and 2%, respectively, while the area of farmland will increase by 46% by 2050 when considering the dynamics recorded for the whole study period .'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '3.4.', '#text': 'Rates of degradation'}, 'p': [{'ref': [{'@type': 'table', '@target': '#tab_3', '#text': '4'}, {'@type': 'figure', '@target': '#fig_2', '#text': '3'}, {'@type': 'bibr', '#text': '(1975)'}, {'@type': 'bibr', '#text': '(1976)'}, {'@type': 'bibr', '#text': '(1977)'}, {'@type': 'bibr', '#text': '(1978)'}, {'@type': 'bibr', '#text': '(1979)'}, {'@type': 'bibr', '#text': '(1980)'}, {'@type': 'bibr', '#text': '(1981)'}, {'@type': 'bibr', '#text': '(1982)'}, {'@type': 'bibr', '#text': '(1983)'}, {'@type': 'bibr', '#text': '(1984)'}, {'@type': 'bibr', '#text': '(1985)'}, {'@type': 'bibr', '#text': '(1986)'}, {'@type': 'bibr', '#text': '(1987)'}, {'@type': 'bibr', '#text': '(1988)'}, {'@type': 'bibr', '#text': '(1989)'}, {'@type': 'bibr', '#text': '(1990)'}], '#text': 'The rate of degradation of the natural vegetation ([forest], woodland and tree [savanna]) is presented in Table "
1-s2.0-S030438781000043X-mainext.pdf.tei_9,"Investment in [agriculture] competes with investment in capital goods, which are recoverable in the event of eviction, and with non-agricultural assets"
1-s2.0-S0168192311001122-main.pdf.tei_70,"Therefore, the changes in [fallow]-cropland class and in [fallow]-cropland ratio have negative impacts on [maize] yield in the communes"
1-s2.0-S0169204617300270-main.pdf.tei_69,This analysis was used as a proxy indicator for informal [urban] development
1-s2.0-S0169204617300270-main.pdf.tei_86,[Land use ]planning in Ghana is mainly conducted by national and international non-governmental organisations and thus not published in peer-review journals 
1-s2.0-S030438781000043X-mainext.pdf.tei_15,Landholders may fear losing land that has been left [fallow] whether it is inherited or borrowed 
1-s2.0-S0308521X12000157-main.pdf.tei_30,"What are the reasons behind the inimical environment?""}, ""It is not that SSA [agriculture] lacks formal or informal institutions in the agricultural sector"
1-s2.0-S030438781000043X-mainext.pdf.tei_105,"by vill/family', None, None, None, None, None, None, '0.03 (0.93)', None, '0.03 (0.94)']}, {'cell': ['Can sell', None, None, None, None, None, None, None, None, '0.03 (0.41)']}, {'cell': ['Can use as security', None, None, None, None, None, None, None, None, '-0.01 (0.07)']}, {'cell': ['Obs/FE', None, None, None, {'@cols': '2', '#text': '15,772/6988'}, None, '15,772/6988', None, '15,772/6988', '5724/2767', '5724/2767']}, {'cell': ['Mali ZLH', 'Inputs', 'Investments', None, None, None, None, None, None]}, {'cell': ['1997-98', '(None)', {'@cols': '2', '#text': 'Not full expl.'}, {'@cols': '2', '#text': 'Lacked rain'}, {'@cols': '2', '#text': 'Lacked flood'}, {'@cols': '2', '#text': 'Lacked labor'}, 'Lacked seeds', 'Lacked funds', 'Other reason']}, {'cell': ['Sharecropped', None, {'@cols': '2', '#text': '-0.11 (1.67)'}, {'@cols': '2', '#text': '0.02 (0.46)'}, {'@cols': '2', '#text': '-0.04 (0.85)'}, {'@cols': '2', '#text': '-0.00 (0.17)'}, '0.03 (0.99)', '-0.11 (2.97)', '-0.00 (0.05)']}, {'cell': ['Gifted', None, {'@cols': '2', '#text': '-0.18 (4.89)'}, {'@cols': '2', '#text': '0.05 (2.06)'}, {'@cols': '2', '#text': '-0.14 (5.24)'}, {'@cols': '2', '#text': '-0.04 (2.75)'}, '-0.02 (1.28)', '-0.02 (1.22)', '0.00 (0.13)']}, {'cell': ['Municipal', None, {'@cols': '2', '#text': '-0.13 (2.59)'}, {'@cols': '2', '#text': '-0.00 (0.03)'}, {'@cols': '2', '#text': '-0.05 (1.44)'}, {'@cols': '2', '#text': '-0.05 (2.20)'}, '-0.03 (1.30)', '-0.01 (0.27)', '0.00 (0.40)']}, {'cell': ['Obs/FE', None, '1860/722', None, '1860/722', None, {'@cols': '2', '#text': '1860/722'}, {'@cols': '2', '#text': '1860/722'}, '1860/722', '1860/722', '1860/722']}, {'cell': ['Ghana LSS 1987-88', None, 'Inputs', None, None, None, None, None, None, 'Investments']}, {'cell': [None, None, 'Fertilizer', {'@cols': '2', '#text': 'Insecticide'}, 'Labor', None, 'Equipment', None, '% [fallow]', '% Y"
1-s2.0-S0140196313000608-main.pdf.tei_87,"Cluster 4 (n ¼ 4) groups cases with multiple driving forces such as demographic drivers (population density and in migration), together with economic drivers (presence of economic structures, diversification, access to international markets, agricultural policies), intensification practices (plough and fertilizers), and a natural limit to the expansion of [crop] land, which translates into land scarcity"
1-s2.0-S0140196322000143-main.pdf.tei_57,"In rangelands, the decrease of woody vegetation density and crown cover was accompanied by a loss in less common tree species such as Pterocarpus erinaceus, and Lannea microcarpa, and shrub species such as Boscia angustifolia and Grewia bicolor.'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.5.', '#text': 'Woody plant cover trends assessed by satellite remote sensing'}, 'p': {'ref': {'@type': 'figure', '@target': '#fig_5', '#text': '6'}, '#text': 'Annual woody plant cover estimates assessed using satellite image polygon encompassing the field sites show a decrease from 2000 to 2014 for all [land use ]types (Fig"
1-s2.0-S016788090800131X-main.pdf.tei_3,"For the assessment of the land use/cover changes, remote sensing data play a major role with their ability to provide quantitative information on the spatial dynamics of [land cover] from different time periods "
1-s2.0-S030438781000043X-mainext.pdf.tei_29,"In a southwestern sample,  found that farms were cropped for 13 years on average before being left [fallow] for a mean of two years.'}, {'ref': [{'@type': 'bibr', '@target': '#b4', '#text': '(Adedipe et al., 1997)'}, {'@type': 'bibr', '@target': '#b90', '#text': '(Ogunlana et al., 2006)'}, {'@type': 'bibr', '@target': '#b22', '#text': 'Bamire and Fabiyi (2002)'}, {'@type': 'bibr', '@target': '#b16', '#text': 'Araka et al"
1-s2.0-S0006320709005400-main.pdf.tei_78,"Cocoa farms supported more plant species overall, but fewer tree species, than open-canopy [forest] "
1-s2.0-S0304387816300670-main.pdf.tei_216,Inside conflicts are within 3 km of a [city]-light and outside conflicts are between 3 and 50 km
1-s2.0-S0308521X12000157-main.pdf.tei_6,Rural people are not pulled to [urban] areas but pushed there by lack of income opportunities in [agriculture] 
1-s2.0-S030438781000043X-mainext.pdf.tei_56,"Other inputs, such as insecticide, are measured at the [crop] level, but these are aggregated up to the household level for the econometric analysis"
1-s2.0-S0264837701000205-main.pdf.tei_13,"They suggest that there are four phases involved in the responses of [land use ]to population growth, which are, however, sometimes consecutive, concurrent or even cumulative"
1-s2.0-S0167880913003502-main.pdf.tei_51,"Unfortunately there is a lack of information provided in most CA studies or studies comparing different CA practices such as detailed soils information, the amount of residues returned or cover [crop] biomass, root biomass and rooting patterns, all of which are necessary to understand the factors and processes resulting in the observed soil C storage differences with CA"
1-s2.0-S0301479717300713-main.pdf.tei_185,"Some move to the cacao areas, some move to [urban] areas … P7: Seriously, people migrate.', '[…] So people start losing hope in their environment as supportive of their livelihood"
1-s2.0-S0167880913003502-main.pdf.tei_90,"Runoff and [erosion] are typically reduced by an order of magnitude with NT compared to conventional .'}, {'ref': [{'@type': 'bibr', '@target': '#b81', '#text': '(Kay et al., 2009)'}, {'@type': 'bibr', '#text': 'Liu et al"
1-s2.0-S0304387816300670-main.pdf.tei_138,"This yields'}, {'ref': [{'@type': 'bibr', '#text': '22'}, {'@type': 'table', '#text': '6'}], '#text': ""We cluster errors by [city] to account for real and constructed serial correlation"
1-s2.0-S095937809800003X-main.pdf.tei_62,From 1955 to 1986 the area on the dune above Mare Yomboli was cleared and used for [cultivation] and fields at the pediplain were abandoned
1-s2.0-S0140196322000143-main.pdf.tei_65," The few trees and numerous [shrubs] found in agricultural lands are scattered except for the man-made network of field hedges, where trees and [shrubs] are not planted but protected from cutting as a marker of land tenure "
1-s2.0-S0006320709005400-main.pdf.tei_62,Young secondary [forest] had higher alpha diversity but lower beta diversity of ants than older [forest] 
1-s2.0-S0168192311001122-main.pdf.tei_85,"Indeed, the strong decrease in precipitation by 31-37% estimated by the REMO model for the period 2041-2050 is attributed mainly to the degradation of [savanna] and [forest] vegetation and the subsequent changes in land surface properties (Fig"
1-s2.0-S0168192311001122-main.pdf.tei_102,"Thus, the expected yield reductions in [land use ]scenario L2 and L3 are higher than the average reduction expected by the climate scenarios for the scenario period 2021-2050"
1-s2.0-S000632071100245X-main.pdf.tei_11,"leiocarpa when chopping the vegetation for [agriculture], while they only partly preserve adult trees in order to have shade for taking a break and to have facilitated accessibility to NTFPs "
1-s2.0-S0301479717300713-main.pdf.tei_205,That are mainly [agriculture]
1-s2.0-S0006320709005400-main.pdf.tei_60,"One study that reported that their logged [forest] sites had suffered \'\'heavy and repeated timber exploitation"" recorded the greatest drop in species richness of the logging studies, to 75% of tree species richness, and less than 40% of sapling species shared with unlogged [forest] "
1-s2.0-S0301479717300713-main.pdf.tei_231,P4 (minor): … the garden [culture] dry season gardening
1-s2.0-S095937809800003X-main.pdf.tei_12,"The correspondence of rural migration with changes in the Sahelian [land use ]structure is, however, very complex )"
1-s2.0-S0140196310000893-main.pdf.tei_2,We investigated the efficiency of MODIS fire products to account for the variability of fire regimes in relation to changes in [land cover] and [savanna] vegetation
1-s2.0-S0140196310000893-main.pdf.tei_59,"Infrequent fires: fires observed 1/8 years; fairly frequent fires: fires observed 2/8 to 3/8 years; yearly or biennial fires: fires observed 4/8e8/8 years."", 'table': {'row': [{'cell': [None, 'Inside protected areas', 'Outside protected areas']}, {'cell': ['No fire', '8%', '29%']}, {'cell': ['Infrequent fires', '13%', '22%']}, {'cell': ['Fairly frequent fires', '31%', '27%']}, {'cell': ['Yearly or biennial fires', '47%', '21%']}]}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@type': 'table', '@xml:id': 'tab_1', 'head': 'Table 2', 'label': '2', 'figDesc': ""Species significantly linked with landscape fire's regimes in Western Burkina Faso (highest mutual information and H0 probability 0.05)."", 'table': {'row': [{'cell': ['Frequent, yearly, biennial fires', None]}, {'cell': ['Woody', None]}, {'cell': ['Afzelia africana', 'Afaf']}, {'cell': ['Bombax costatum', 'Boco']}, {'cell': ['Burkea africana', 'Buaf']}, {'cell': ['Entada africana', 'Enaf']}, {'cell': ['Prosopis africana', 'Praf']}, {'cell': ['Pterocarpus erinaceus', 'Pter']}, {'cell': ['[Grasses]', None]}, {'cell': ['Andropogon tectorum', 'Ante']}, {'cell': ['Diheteropogon hagerupii', 'Diha']}, {'cell': ['Hyparrhenia smithiana', 'Hysm']}, {'cell': ['Loudetiopsis kerstingii', 'Loke']}, {'cell': ['Schizachyrium sanguineum', 'Scsa']}, {'cell': ['Forbs', None]}, {'cell': ['Raphionacme daronii', 'Rada']}, {'cell': ['Sub-[shrubs]', None]}, {'cell': ['Cochlospermum planchoni', 'Copl']}, {'cell': ['Climbers', None]}, {'cell': ['[Asparagus] africanus', 'Asaf']}, {'cell': ['Cissus populnea', 'Cipo']}, {'cell': ['Baissea multiflora', 'Bamu']}, {'cell': ['Infrequent fires or no fire', None]}, {'cell': ['Woody', None]}, {'cell': ['Azadirachta indica', 'Azin']}, {'cell': ['Diospyros mespiliformis', 'Dime']}, {'cell': ['Gardenia erubescens', 'Gaer']}, {'cell': ['Grewia barteri', 'Grba']}, {'cell': ['Guiera senegalensis', 'Guse']}, {'cell': ['Ozoroa insignis', 'Ozin']}, {'cell': ['Terminalia avicennioides', 'Teav']}, {'cell': ['[Grasses] and sedges', None]}, {'cell': ['Aristida sieberana', 'Arsi']}, {'cell': ['Bulbostylis abortiva', 'Buab']}, {'cell': ['Ctenium newtonii', 'Ctne']}, {'cell': ['Cyperus rotundus', 'Cyro']}, {'cell': ['Cymbopogon schoenanthus', 'Cysc']}, {'cell': ['Digitaria debilis', 'Dide']}, {'cell': ['Euclasta condylotricha', 'Euco']}, {'cell': ['Microchloa indica', 'Miin']}, {'cell': ['Paspalum scrobiculatum', 'Pasc']}, {'cell': ['Vetiveria nigritana', 'Veni']}, {'cell': ['Forbs', None]}, {'cell': ['Amorphophallus aphyllus', 'Amap']}, {'cell': ['Cochlospermum tinctorium', 'Coti']}, {'cell': ['Crotalaria retusa', 'Crre']}, {'cell': ['Curculigo pilosa', 'Cupi']}, {'cell': ['Evolvulus alsinoides', 'Eval']}, {'cell': ['Fadogia agrestis', 'Faag']}, {'cell': ['Gladiolus gregarius', 'Glgr']}, {'cell': ['Indigofera stenophylla', 'Inst']}, {'cell': ['Lantana rhodesiensis', 'Larh']}, {'cell': ['Pandiaka involucrata', 'Pain']}, {'cell': ['Schwenckia americana', 'Scam']}, {'cell': ['Spermacoce chaetocephala', 'Spch']}, {'cell': ['Spermacoce radiata', 'Spra']}, {'cell': ['Spermacoce stachydea', 'Spst']}, {'cell': ['Tephrosia pedicellata', 'Tepe']}, {'cell': ['Waltheria indica', 'Wain']}, {'cell': ['Climbers', None]}, {'cell': ['Cissus diffusiflora', 'Cidi']}, {'cell': ['Cissus lelyi', 'Cile']}]}}]
      note: [{'@xmlns': 'http://www.tei-c.org/ns/1.0', '@place': 'foot', '@n': '1', '@xml:id': 'foot_0', 'p': 'Translation of "" feux de brousse "" used in the official documents of the government of Burkina Faso, we shall prefer within the framework of our works to use ""[savanna] fires"" which refers to grass fires"
1-s2.0-S0304387816300670-main.pdf.tei_183,"28 As [city] scale rises, per-worker time for production declines, a representation of the basic [urban] diseconomy"
1-s2.0-S0301479717300713-main.pdf.tei_247,"P12: Yes, sacred [forest] are used for protection"
1-s2.0-S0140196314000536-main.pdf.tei_19,"conspicuous NDVI trends and changes in [land cover] and tree density, 145 transects (60 in Mali, 85 in Senegal) of approximately 200 m each were surveyed"
1-s2.0-S0301479717300713-main.pdf.tei_68,"Indirectly, population growth leads to changes in [agricultural land] use practices due to land pressure"
1-s2.0-S016788090800131X-main.pdf.tei_43,"We also found that Yale ´is situated at a main road connecting Burkina Faso with Ghana, while Boala is almost isolated and the only road to access Boala is the 34 km secondary road and then the 9 km of path unusable during the rainy season (i.e., June-September).'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.', '#text': 'Discussion'}, 'p': [{'ref': [{'@type': 'bibr', '@target': '#b12', '#text': '(Geist and Lambin, 2002)'}, {'@type': 'bibr', '@target': '#b19', '#text': 'Howorth (1999)'}, {'@type': 'bibr', '@target': '#b33', '#text': '(Ouedraogo, 2003)'}], '#text': 'The results from the present study revealed that there was a rapid [land use ]change both at local and regional scales"
1-s2.0-S0264837715302131-main.pdf.tei_12,Among the commonly used biophysical indicators are changes in land use/[land cover] 
1-s2.0-S0169204617300270-main.pdf.tei_75,Examples are public authorities on  a Counted as people living in the [urban] area
1-s2.0-S235198941500102X-main.pdf.tei_70,"A further notable change is the increase of [bare soil] from 0.70% in 1984 to 1.19% by 2013, equivalent to 69.67%, over the whole study period"
1-s2.0-S0301479717300713-main.pdf.tei_223,"Irrigation(dams, rivers)"", 'table': {'row': [{'cell': ['(continued )', None, None]}, {'cell': ['Classification of driver', 'Drivers of [LULCC]', 'Interviews']}, {'cell': [None, 'Conservation [agriculture]', 'P6 (future):']}]}, 'note': {'p': 'P11: What may come to mind, or what is farm on the field is … almost everything is going"
